Date,Open,High,Low,Close,Adj Close,Volume
2023-04-24,40600.000000,40600.000000,40550.000000,40600.000000,39809.652344,12344
2023-04-25,40000.000000,41500.000000,39800.000000,39800.000000,39025.226563,5583
2023-04-26,39520.000000,40200.000000,38000.000000,39740.000000,38966.390625,15562
2023-04-27,37310.000000,40900.000000,37310.000000,40900.000000,40103.812500,7756
2023-04-28,40900.000000,43390.000000,40900.000000,42090.000000,41270.644531,28178
2023-05-01,null,null,null,null,null,null
2023-05-02,42100.000000,42770.000000,42040.000000,42550.000000,41721.691406,63190
2023-05-03,43280.000000,43980.000000,42550.000000,43900.000000,43045.414063,73066
2023-05-04,44000.000000,44500.000000,43280.000000,44300.000000,43437.625000,34572
2023-05-05,44500.000000,45500.000000,42350.000000,44300.000000,43437.625000,28124
2023-05-08,45000.000000,45000.000000,44100.000000,44480.000000,43614.121094,34029
2023-05-09,45000.000000,45900.000000,44600.000000,44600.000000,43731.785156,7720
2023-05-10,45500.000000,45500.000000,45500.000000,45500.000000,44614.265625,245
2023-05-11,45510.000000,45510.000000,44010.000000,44010.000000,43153.269531,2632
2023-05-12,43000.000000,43900.000000,42950.000000,43000.000000,42162.929688,96081
2023-05-15,42990.000000,43000.000000,42130.000000,42520.000000,41692.277344,20792
2023-05-16,42520.000000,42990.000000,41380.000000,42990.000000,42153.125000,5427
2023-05-17,43420.000000,43420.000000,40820.000000,40820.000000,40025.367188,17582
2023-05-18,40670.000000,41630.000000,40650.000000,41490.000000,40682.324219,28761
2023-05-19,40783.218750,40783.218750,40783.218750,40783.218750,39989.304688,118
2023-05-22,null,null,null,null,null,null
2023-05-23,40200.000000,40200.000000,40200.000000,40200.000000,39417.437500,800
2023-05-24,41420.000000,41420.000000,40100.000000,40100.000000,39319.382813,1003
2023-05-25,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-05-26,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-05-29,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-05-30,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-05-31,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-06-01,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-06-02,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-06-05,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-06-06,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-06-07,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-06-08,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
2023-06-09,40100.000000,40100.000000,40100.000000,40100.000000,39319.382813,0
